title,url,HITId,whole,part,jj,result1,worker1,result2,worker2,result3,worker3,result4,worker4,result5,worker5
Common sense visual reasoning 06-22-18,https://worker.mturk.com/mturk/preview?groupId=3PBMWYW3C32CXZPPHIHN0HUX6KQ2XS,3H1C3QRA01JFKHSY006RENXOT47CEX,floor,edge,wooden,wjj-nonsense,A2K4OJDQPXIU5T,probably,A33KNBN0D47PN3,probably,A1BCXM3RDGUYA8,probably,A2C6HMH2FDM2CI,guaranteed,A11KP7FK5KS9H1
Common sense visual reasoning 06-22-18,https://worker.mturk.com/mturk/preview?groupId=3PBMWYW3C32CXZPPHIHN0HUX6KQ2XS,3H1C3QRA01JFKHSY006RENXOT47CEX,floor,edge,bare,pw-nonsense,A2K4OJDQPXIU5T,unrelated,A33KNBN0D47PN3,unrelated,A1BCXM3RDGUYA8,impossible,A2C6HMH2FDM2CI,probably,A11KP7FK5KS9H1
Common sense visual reasoning 06-22-18,https://worker.mturk.com/mturk/preview?groupId=3PBMWYW3C32CXZPPHIHN0HUX6KQ2XS,3H1C3QRA01JFKHSY006RENXOT47CEX,floor,edge,grey,wjj-nonsense,A2K4OJDQPXIU5T,probably,A33KNBN0D47PN3,unrelated,A1BCXM3RDGUYA8,probably,A2C6HMH2FDM2CI,probably,A11KP7FK5KS9H1
Common sense visual reasoning 06-22-18,https://worker.mturk.com/mturk/preview?groupId=3PBMWYW3C32CXZPPHIHN0HUX6KQ2XS,3H1C3QRA01JFKHSY006RENXOT47CEX,floor,edge,polished,wjj-nonsense,A2K4OJDQPXIU5T,unrelated,A33KNBN0D47PN3,probably,A1BCXM3RDGUYA8,unrelated,A2C6HMH2FDM2CI,probably,A11KP7FK5KS9H1
Common sense visual reasoning 06-22-18,https://worker.mturk.com/mturk/preview?groupId=3PBMWYW3C32CXZPPHIHN0HUX6KQ2XS,3H1C3QRA01JFKHSY006RENXOT47CEX,floor,edge,concrete,wjj-nonsense,A2K4OJDQPXIU5T,probably,A33KNBN0D47PN3,unrelated,A1BCXM3RDGUYA8,unlikely,A2C6HMH2FDM2CI,probably,A11KP7FK5KS9H1
Common sense visual reasoning 06-22-18,https://worker.mturk.com/mturk/preview?groupId=3PBMWYW3C32CXZPPHIHN0HUX6KQ2XS,3D3B8GE892RHJAALXUCB69VK1Q69PY,tower,edge,old,guaranteed,A13ZQSOMIZAN4Y,probably,A33KNBN0D47PN3,probably,A2C6HMH2FDM2CI,probably,A1BCXM3RDGUYA8,guaranteed,A1FO99U5T2TBBP
Common sense visual reasoning 06-22-18,https://worker.mturk.com/mturk/preview?groupId=3PBMWYW3C32CXZPPHIHN0HUX6KQ2XS,3D3B8GE892RHJAALXUCB69VK1Q69PY,tower,edge,high,unrelated,A13ZQSOMIZAN4Y,unrelated,A33KNBN0D47PN3,probably,A2C6HMH2FDM2CI,guaranteed,A1BCXM3RDGUYA8,guaranteed,A1FO99U5T2TBBP
Common sense visual reasoning 06-22-18,https://worker.mturk.com/mturk/preview?groupId=3PBMWYW3C32CXZPPHIHN0HUX6KQ2XS,3D3B8GE892RHJAALXUCB69VK1Q69PY,tower,edge,lofty,probably,A13ZQSOMIZAN4Y,unrelated,A33KNBN0D47PN3,wjj-nonsense,A2C6HMH2FDM2CI,probably,A1BCXM3RDGUYA8,guaranteed,A1FO99U5T2TBBP
Common sense visual reasoning 06-22-18,https://worker.mturk.com/mturk/preview?groupId=3PBMWYW3C32CXZPPHIHN0HUX6KQ2XS,3D3B8GE892RHJAALXUCB69VK1Q69PY,tower,edge,round,guaranteed,A13ZQSOMIZAN4Y,unrelated,A33KNBN0D47PN3,probably,A2C6HMH2FDM2CI,unrelated,A1BCXM3RDGUYA8,probably,A1FO99U5T2TBBP
Common sense visual reasoning 06-22-18,https://worker.mturk.com/mturk/preview?groupId=3PBMWYW3C32CXZPPHIHN0HUX6KQ2XS,3D3B8GE892RHJAALXUCB69VK1Q69PY,tower,edge,tall,probably,A13ZQSOMIZAN4Y,unrelated,A33KNBN0D47PN3,probably,A2C6HMH2FDM2CI,guaranteed,A1BCXM3RDGUYA8,guaranteed,A1FO99U5T2TBBP
Common sense visual reasoning 06-22-18,https://worker.mturk.com/mturk/preview?groupId=3PBMWYW3C32CXZPPHIHN0HUX6KQ2XS,3D3B8GE892RHJAALXUCB69VK1Q69PY,tower,edge,white,guaranteed,A13ZQSOMIZAN4Y,unlikely,A33KNBN0D47PN3,probably,A2C6HMH2FDM2CI,unrelated,A1BCXM3RDGUYA8,probably,A1FO99U5T2TBBP
Common sense visual reasoning 06-22-18,https://worker.mturk.com/mturk/preview?groupId=3PBMWYW3C32CXZPPHIHN0HUX6KQ2XS,3JHB4BPSFK92JMB0X7R06ELU6MS9QP,stove,door,electric,impossible,A13ZQSOMIZAN4Y,unrelated,A33KNBN0D47PN3,unlikely,A2C6HMH2FDM2CI,impossible,A1BCXM3RDGUYA8,impossible,A1FO99U5T2TBBP
Common sense visual reasoning 06-22-18,https://worker.mturk.com/mturk/preview?groupId=3PBMWYW3C32CXZPPHIHN0HUX6KQ2XS,3JHB4BPSFK92JMB0X7R06ELU6MS9QP,stove,door,hot,unlikely,A13ZQSOMIZAN4Y,unlikely,A33KNBN0D47PN3,probably,A2C6HMH2FDM2CI,guaranteed,A1BCXM3RDGUYA8,probably,A1FO99U5T2TBBP
Common sense visual reasoning 06-22-18,https://worker.mturk.com/mturk/preview?groupId=3PBMWYW3C32CXZPPHIHN0HUX6KQ2XS,3JHB4BPSFK92JMB0X7R06ELU6MS9QP,stove,door,old,probably,A13ZQSOMIZAN4Y,guaranteed,A33KNBN0D47PN3,probably,A2C6HMH2FDM2CI,probably,A1BCXM3RDGUYA8,guaranteed,A1FO99U5T2TBBP
Common sense visual reasoning 06-22-18,https://worker.mturk.com/mturk/preview?groupId=3PBMWYW3C32CXZPPHIHN0HUX6KQ2XS,3JHB4BPSFK92JMB0X7R06ELU6MS9QP,stove,door,warm,unlikely,A13ZQSOMIZAN4Y,unlikely,A33KNBN0D47PN3,probably,A2C6HMH2FDM2CI,probably,A1BCXM3RDGUYA8,probably,A1FO99U5T2TBBP
Common sense visual reasoning 06-22-18,https://worker.mturk.com/mturk/preview?groupId=3PBMWYW3C32CXZPPHIHN0HUX6KQ2XS,3JHB4BPSFK92JMB0X7R06ELU6MS9QP,stove,door,white,probably,A13ZQSOMIZAN4Y,unrelated,A33KNBN0D47PN3,probably,A2C6HMH2FDM2CI,unrelated,A1BCXM3RDGUYA8,probably,A1FO99U5T2TBBP
Common sense visual reasoning 06-22-18,https://worker.mturk.com/mturk/preview?groupId=3PBMWYW3C32CXZPPHIHN0HUX6KQ2XS,32W3UF2EZOLXSFV5BUUE51LXGFD4CJ,back,slat,wooden,probably,A33KNBN0D47PN3,impossible,A2C6HMH2FDM2CI,probably,A1FO99U5T2TBBP,guaranteed,A1DDBMHUUD900B,guaranteed,AXS9LTZ30XHO9
Common sense visual reasoning 06-22-18,https://worker.mturk.com/mturk/preview?groupId=3PBMWYW3C32CXZPPHIHN0HUX6KQ2XS,3PR3LXCWSFZMSJCCJLMS0MHN3PEX99,ocean,water,still,guaranteed,A33KNBN0D47PN3,guaranteed,A2C6HMH2FDM2CI,guaranteed,A1BCXM3RDGUYA8,guaranteed,A1FO99U5T2TBBP,guaranteed,A1TLKBW8KT7L6F
Common sense visual reasoning 06-22-18,https://worker.mturk.com/mturk/preview?groupId=3PBMWYW3C32CXZPPHIHN0HUX6KQ2XS,3PR3LXCWSFZMSJCCJLMS0MHN3PEX99,ocean,water,open,guaranteed,A33KNBN0D47PN3,impossible,A2C6HMH2FDM2CI,guaranteed,A1BCXM3RDGUYA8,guaranteed,A1FO99U5T2TBBP,guaranteed,A1TLKBW8KT7L6F
Common sense visual reasoning 06-22-18,https://worker.mturk.com/mturk/preview?groupId=3PBMWYW3C32CXZPPHIHN0HUX6KQ2XS,3PR3LXCWSFZMSJCCJLMS0MHN3PEX99,ocean,water,calm,guaranteed,A33KNBN0D47PN3,guaranteed,A2C6HMH2FDM2CI,guaranteed,A1BCXM3RDGUYA8,guaranteed,A1FO99U5T2TBBP,guaranteed,A1TLKBW8KT7L6F
Common sense visual reasoning 06-22-18,https://worker.mturk.com/mturk/preview?groupId=3PBMWYW3C32CXZPPHIHN0HUX6KQ2XS,3PR3LXCWSFZMSJCCJLMS0MHN3PEX99,ocean,water,blue,guaranteed,A33KNBN0D47PN3,guaranteed,A2C6HMH2FDM2CI,guaranteed,A1BCXM3RDGUYA8,guaranteed,A1FO99U5T2TBBP,probably,A1TLKBW8KT7L6F
Common sense visual reasoning 06-22-18,https://worker.mturk.com/mturk/preview?groupId=3PBMWYW3C32CXZPPHIHN0HUX6KQ2XS,3PR3LXCWSFZMSJCCJLMS0MHN3PEX99,ocean,water,deep,guaranteed,A33KNBN0D47PN3,guaranteed,A2C6HMH2FDM2CI,guaranteed,A1BCXM3RDGUYA8,guaranteed,A1FO99U5T2TBBP,probably,A1TLKBW8KT7L6F
Common sense visual reasoning 06-22-18,https://worker.mturk.com/mturk/preview?groupId=3PBMWYW3C32CXZPPHIHN0HUX6KQ2XS,3PR3LXCWSFZMSJCCJLMS0MHN3PEX99,ocean,water,wide,guaranteed,A33KNBN0D47PN3,impossible,A2C6HMH2FDM2CI,guaranteed,A1BCXM3RDGUYA8,guaranteed,A1FO99U5T2TBBP,guaranteed,A1TLKBW8KT7L6F
Common sense visual reasoning 06-22-18,https://worker.mturk.com/mturk/preview?groupId=3PBMWYW3C32CXZPPHIHN0HUX6KQ2XS,3PR3LXCWSFZMSJCCJLMS0MHN3PEX99,ocean,water,vast,guaranteed,A33KNBN0D47PN3,impossible,A2C6HMH2FDM2CI,guaranteed,A1BCXM3RDGUYA8,guaranteed,A1FO99U5T2TBBP,guaranteed,A1TLKBW8KT7L6F
Common sense visual reasoning 06-22-18,https://worker.mturk.com/mturk/preview?groupId=3PBMWYW3C32CXZPPHIHN0HUX6KQ2XS,3XH7ZM9YX2U2VNQ0AMG0B4VZ28U9RQ,lighthouse,door,famous,unlikely,A33KNBN0D47PN3,probably,A2C6HMH2FDM2CI,probably,A1FO99U5T2TBBP,unlikely,AXY0D2AMLKE2A,guaranteed,A1DDBMHUUD900B
Common sense visual reasoning 06-22-18,https://worker.mturk.com/mturk/preview?groupId=3PBMWYW3C32CXZPPHIHN0HUX6KQ2XS,3XH7ZM9YX2U2VNQ0AMG0B4VZ28U9RQ,lighthouse,door,old,guaranteed,A33KNBN0D47PN3,probably,A2C6HMH2FDM2CI,probably,A1FO99U5T2TBBP,probably,AXY0D2AMLKE2A,probably,A1DDBMHUUD900B
Common sense visual reasoning 06-22-18,https://worker.mturk.com/mturk/preview?groupId=3PBMWYW3C32CXZPPHIHN0HUX6KQ2XS,3XH7ZM9YX2U2VNQ0AMG0B4VZ28U9RQ,lighthouse,door,tall,unrelated,A33KNBN0D47PN3,unrelated,A2C6HMH2FDM2CI,unrelated,A1FO99U5T2TBBP,unrelated,AXY0D2AMLKE2A,unrelated,A1DDBMHUUD900B
Common sense visual reasoning 06-22-18,https://worker.mturk.com/mturk/preview?groupId=3PBMWYW3C32CXZPPHIHN0HUX6KQ2XS,3XH7ZM9YX2U2VNQ0AMG0B4VZ28U9RQ,lighthouse,door,distant,guaranteed,A33KNBN0D47PN3,guaranteed,A2C6HMH2FDM2CI,guaranteed,A1FO99U5T2TBBP,guaranteed,AXY0D2AMLKE2A,guaranteed,A1DDBMHUUD900B
Common sense visual reasoning 06-22-18,https://worker.mturk.com/mturk/preview?groupId=3PBMWYW3C32CXZPPHIHN0HUX6KQ2XS,3XH7ZM9YX2U2VNQ0AMG0B4VZ28U9RQ,lighthouse,door,white,probably,A33KNBN0D47PN3,probably,A2C6HMH2FDM2CI,unrelated,A1FO99U5T2TBBP,probably,AXY0D2AMLKE2A,unrelated,A1DDBMHUUD900B
Common sense visual reasoning 06-22-18,https://worker.mturk.com/mturk/preview?groupId=3PBMWYW3C32CXZPPHIHN0HUX6KQ2XS,3XD2A6FGFNUEW2QDPBG51E0VOAD9SE,tree,bloom,old,impossible,A2C6HMH2FDM2CI,unlikely,A2VFH95BVFIU5K,impossible,A1FO99U5T2TBBP,unlikely,AXY0D2AMLKE2A,guaranteed,AXS9LTZ30XHO9
Common sense visual reasoning 06-22-18,https://worker.mturk.com/mturk/preview?groupId=3PBMWYW3C32CXZPPHIHN0HUX6KQ2XS,3XD2A6FGFNUEW2QDPBG51E0VOAD9SE,tree,bloom,hollow,unrelated,A2C6HMH2FDM2CI,impossible,A2VFH95BVFIU5K,impossible,A1FO99U5T2TBBP,impossible,AXY0D2AMLKE2A,impossible,AXS9LTZ30XHO9
Common sense visual reasoning 06-22-18,https://worker.mturk.com/mturk/preview?groupId=3PBMWYW3C32CXZPPHIHN0HUX6KQ2XS,3XD2A6FGFNUEW2QDPBG51E0VOAD9SE,tree,bloom,tall,impossible,A2C6HMH2FDM2CI,unrelated,A2VFH95BVFIU5K,unrelated,A1FO99U5T2TBBP,unrelated,AXY0D2AMLKE2A,guaranteed,AXS9LTZ30XHO9
Common sense visual reasoning 06-22-18,https://worker.mturk.com/mturk/preview?groupId=3PBMWYW3C32CXZPPHIHN0HUX6KQ2XS,3XD2A6FGFNUEW2QDPBG51E0VOAD9SE,tree,bloom,green,unlikely,A2C6HMH2FDM2CI,unrelated,A2VFH95BVFIU5K,unrelated,A1FO99U5T2TBBP,unrelated,AXY0D2AMLKE2A,guaranteed,AXS9LTZ30XHO9
Common sense visual reasoning 06-22-18,https://worker.mturk.com/mturk/preview?groupId=3PBMWYW3C32CXZPPHIHN0HUX6KQ2XS,3T8DUCXY0N6FB23SEBLVBJWHQTR9T3,label,lettering,descriptive,unrelated,A33KNBN0D47PN3,unrelated,A2A6CBJZZDJNWF,impossible,A2C6HMH2FDM2CI,guaranteed,A2VFH95BVFIU5K,probably,A1TLKBW8KT7L6F
Common sense visual reasoning 06-22-18,https://worker.mturk.com/mturk/preview?groupId=3PBMWYW3C32CXZPPHIHN0HUX6KQ2XS,3T8DUCXY0N6FB23SEBLVBJWHQTR9T3,label,lettering,appropriate,guaranteed,A33KNBN0D47PN3,unrelated,A2A6CBJZZDJNWF,unrelated,A2C6HMH2FDM2CI,guaranteed,A2VFH95BVFIU5K,probably,A1TLKBW8KT7L6F
Common sense visual reasoning 06-22-18,https://worker.mturk.com/mturk/preview?groupId=3PBMWYW3C32CXZPPHIHN0HUX6KQ2XS,3T8DUCXY0N6FB23SEBLVBJWHQTR9T3,label,lettering,white,impossible,A33KNBN0D47PN3,impossible,A2A6CBJZZDJNWF,unlikely,A2C6HMH2FDM2CI,unlikely,A2VFH95BVFIU5K,unlikely,A1TLKBW8KT7L6F
